Client_ID,Client_Name,Industry_Sector,Country,Annual_Revenue_USD,Number_of_Employees,Risk_Score,Insurance_Premium_USD,Claims_Made_Last_12_Months,Last_Claim_Amount_USD,Policy_Start_Date,Policy_End_Date,Is_High_Risk,Notes
C0858,NextGen Enterprises,,,1812503.0,3685,19.0,47998.0,Y,42043,2023-11-02,2025-03-29,No,Late claims
C0709,Prime Enterprises,Telecom,India,9794402.0,3618,70.0,44121.0,Y,56984,2020-06-29,2026-01-20,Y,Data mismatch
C0477,Allied Corp,Healthcare,UK,775510.0,4076,33.0,60103.0,N,23185,2018-05-31,2026-08-25,N,Frequent small claims
C0143,Allied Enterprises,Retail,India,6800379.0,3826,63.0,88555.0,YES,16193,2020-05-10,2026-03-20,Yes,Clean history
C0150,Global Ltd,Retail,Singapore,2335000.0,3900,86.0,96703.0,Y,12360,2019-09-05,2026-02-14,No,Late claims
C0825,Secure Ltd,Telecom,Australia,9353517.0,2913,47.0,111611.0,Y,35903,2023-12-18,2025-04-14,N,Clean history
C0671,Prime Corp,Energy,Canada,3567366.0,63,63.0,168865.0,N,84748,2020-02-10,2025-06-22,No,Policy renewal pending
C0209,NextGen Pvt,Healthcare,Australia,6504003.0,3409,10.0,7352.0,Y,75945,2021-10-09,2025-07-09,Y,Clean history
C0943,Prime Solutions,Manufacturing,Germany,9159296.0,757,45.0,163199.0,NO,66788,2019-02-15,2025-02-19,No,Policy renewal pending
C0289,NextGen Enterprises,Manufacturing,UK,4141776.0,2682,2.0,77805.0,Yes,7352,2020-11-07,2026-10-25,N,Good client
C0887,Global Ltd,Financial Institutions,UK,6609590.0,3147,53.0,,N,66983,2023-05-23,2026-06-18,Y,Frequent small claims
C0170,NextGen Corp,Manufacturing,Australia,5059617.0,2170,90.0,184587.0,N,93027,,2025-02-11,Y,Data mismatch
C0176,XYZ Corp,Technology,Canada,913168.0,4170,36.0,103746.0,Y,42051,2024-08-22,2026-06-22,Y,Data mismatch
C0517,XYZ Enterprises,Healthcare,Canada,1432397.0,2483,100.0,10842.0,NO,8026,2019-07-08,2026-10-21,Yes,Data mismatch
C0567,Secure Solutions,Telecom,Singapore,1634837.0,2106,68.0,169074.0,N,84811,2019-11-01,2025-05-15,Yes,Late claims
C0522,ABC Enterprises,Financial Institutions,USA,9005921.0,4217,35.0,22508.0,No,42239,2021-09-16,2026-10-12,Y,Needs review
C0810,NextGen Enterprises,Telecom,Germany,487952.0,966,40.0,90744.0,Y,42788,2019-05-23,2026-12-07,Y,Good client
C0190,NextGen Enterprises,Financial Institutions,Germany,9170277.0,379,99.0,36778.0,NO,82289,2020-01-05,2025-07-25,Y,Data mismatch
C0966,Prime Solutions,Financial Institutions,,594592.0,711,71.0,147228.0,Y,6901,2024-06-27,2026-01-09,Yes,Frequent small claims
C0197,ABC Solutions,Manufacturing,Australia,2756138.0,388,42.0,66516.0,No,94574,2019-02-03,2025-05-15,Yes,Good client
C0551,Prime Solutions,Technology,Australia,7768216.0,1999,80.0,62505.0,YES,35931,2023-04-13,2025-08-29,Yes,Data mismatch
C0229,ABC Solutions,Retail,Canada,2304664.0,3092,32.0,104931.0,Yes,53053,2018-01-07,2025-11-14,N,Needs review
C0689,Prime Corp,Telecom,Canada,9753648.0,4446,51.0,95270.0,No,96462,2019-11-27,2026-07-01,N,Frequent small claims
C0160,Allied Pvt,Manufacturing,USA,6557294.0,4903,,99333.0,YES,2642,2024-05-09,2025-03-29,N,Needs review
C0543,ABC Pvt,Financial Institutions,Canada,7102587.0,641,86.0,57389.0,No,77299,2020-07-30,2026-01-11,No,Good client
C0612,ABC Solutions,Financial Institutions,Canada,5287480.0,4694,61.0,86029.0,N,27526,2024-08-27,2026-05-05,No,Needs review
C0512,NextGen Corp,Retail,Singapore,4332406.0,1925,49.0,59040.0,No,22010,2022-08-13,2025-02-07,Y,Frequent small claims
C0577,Allied Corp,Energy,UK,6650670.0,4256,20.0,25132.0,N,40172,2024-06-24,2025-11-12,Yes,Data mismatch
C0400,Secure Pvt,Financial Institutions,India,,2453,78.0,64766.0,NO,47221,2019-02-11,2025-06-23,N,Needs review
C0834,ABC Ltd,Energy,India,8874533.0,3421,14.0,117492.0,NO,35179,2023-01-17,2025-03-23,No,Good client
C0979,Allied Solutions,Financial Institutions,Singapore,,3009,55.0,143335.0,Y,14079,2022-06-04,2026-12-12,Y,Late claims
C0856,Global Enterprises,Retail,India,886667.0,1013,62.0,71668.0,Y,99165,2020-11-09,2026-07-11,Y,Data mismatch
C0515,Allied Ltd,Healthcare,Australia,4526219.0,1066,64.0,21211.0,NO,2890,2020-10-21,2025-11-30,Y,Needs review
